nombre,descripcion,precio,stock,imagenUrl,categoria,atributos
MacBook Pro 14 M3,Laptop Apple con chip M3 y pantalla Liquid Retina XDR,42999.00,15,https://img.techshop.com/macbook-pro-14.jpg,Laptops,"{""ram"":""16GB"",""procesador"":""Apple M3"",""almacenamiento"":""512GB SSD"",""pantalla"":""14.2 pulgadas""}"
MacBook Air 15 M2,Laptop ultraligera Apple con chip M2,27999.00,20,https://img.techshop.com/macbook-air-15.jpg,Laptops,"{""ram"":""8GB"",""procesador"":""Apple M2"",""almacenamiento"":""256GB SSD"",""pantalla"":""15.3 pulgadas""}"
Dell XPS 15,Laptop premium Dell con pantalla OLED 3.5K,34999.00,12,https://img.techshop.com/dell-xps-15.jpg,Laptops,"{""ram"":""16GB"",""procesador"":""Intel i7-13700H"",""almacenamiento"":""512GB SSD"",""pantalla"":""15.6 pulgadas""}"
Lenovo ThinkPad X1 Carbon,Laptop empresarial ultraligera con teclado legendario,31999.00,18,https://img.techshop.com/thinkpad-x1.jpg,Laptops,"{""ram"":""16GB"",""procesador"":""Intel i7-1365U"",""almacenamiento"":""512GB SSD"",""pantalla"":""14 pulgadas""}"
HP Spectre x360,Laptop convertible 2 en 1 con pantalla tactil OLED,29999.00,10,https://img.techshop.com/hp-spectre.jpg,Laptops,"{""ram"":""16GB"",""procesador"":""Intel i7-1355U"",""almacenamiento"":""1TB SSD"",""pantalla"":""13.5 pulgadas""}"
ASUS ROG Zephyrus G14,Laptop gamer compacta con GPU dedicada,36999.00,8,https://img.techshop.com/rog-zephyrus.jpg,Laptops,"{""ram"":""32GB"",""procesador"":""AMD Ryzen 9 7940HS"",""almacenamiento"":""1TB SSD"",""gpu"":""RTX 4060""}"
Acer Swift 3,Laptop economica con buen rendimiento,14999.00,25,https://img.techshop.com/acer-swift-3.jpg,Laptops,"{""ram"":""8GB"",""procesador"":""AMD Ryzen 5 7530U"",""almacenamiento"":""512GB SSD"",""pantalla"":""14 pulgadas""}"
MSI Creator Z16,Laptop para creadores de contenido con pantalla QHD+,44999.00,6,https://img.techshop.com/msi-creator.jpg,Laptops,"{""ram"":""32GB"",""procesador"":""Intel i9-13900H"",""almacenamiento"":""1TB SSD"",""gpu"":""RTX 4070""}"
Lenovo IdeaPad 5,Laptop versatil para uso diario y trabajo,12999.00,30,https://img.techshop.com/ideapad-5.jpg,Laptops,"{""ram"":""8GB"",""procesador"":""AMD Ryzen 5 7535U"",""almacenamiento"":""256GB SSD"",""pantalla"":""15.6 pulgadas""}"
Dell Latitude 5540,Laptop empresarial robusta con seguridad avanzada,28999.00,14,https://img.techshop.com/latitude-5540.jpg,Laptops,"{""ram"":""16GB"",""procesador"":""Intel i7-1365U"",""almacenamiento"":""512GB SSD"",""pantalla"":""15.6 pulgadas""}"
